id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	otherCatalogNumbers	kingdom	phylum	class	order	family	scientificName	scientificNameAuthorship	genus	specificEpithet	taxonRank	infraspecificEpithet	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	taxonRemarks	identificationQualifier	typeStatus	recordedBy	recordedByID	associatedCollectors	recordNumber	eventDate	year	month	day	startDayOfYear	endDayOfYear	verbatimEventDate	occurrenceRemarks	habitat	substrate	verbatimAttributes	fieldNumber	informationWithheld	dataGeneralizations	dynamicProperties	associatedTaxa	reproductiveCondition	establishmentMeans	cultivationStatus	lifeStage	sex	individualCount	samplingProtocol	samplingEffort	preparations	country	stateProvince	county	municipality	locality	locationRemarks	localitySecurity	localitySecurityReason	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimCoordinates	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verbatimElevation	disposition	language	recordEnteredBy	modified	sourcePrimaryKey-dbpk	collId	recordId	references
13009335	ASU	ASUHIC		PreservedSpecimen	187254bc-faac-44cf-94c9-c873f1d331dd	ASUHIC0063527		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Stenosides anastomosis	(Say, 1824)	Stenosides	anastomosis			Charles A. Triplehorn	1987						Ronald S. Wielgus				1985-07-27	1985	7	27	208														0				UV light			USA	Arizona	Cochise County		5131 S Bannock Street, Sierra Vista, Huachuca Mountains		0		31.475908	-110.269907	WGS84			Catherine Mercado		SCAN	requires verification										camercad	2016-01-01 16:02:52		1	urn:uuid:187254bc-faac-44cf-94c9-c873f1d331dd	http://scan-bugs.org/portal/collections/individual/index.php?occid=13009335
13009336	ASU	ASUHIC		PreservedSpecimen	bb106002-6637-4e4c-9936-16911a0290c8	ASUHIC0063528		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Stenosides anastomosis	(Say, 1824)	Stenosides	anastomosis			Charles A. Triplehorn	1987						Ronald S. Wielgus				1982-07-16	1982	7	16	197														0				UV light			USA	Arizona	Cochise County		5131 S Bannock Street, Sierra Vista, Huachuca Mountains		0		31.475908	-110.269907	WGS84			Catherine Mercado		SCAN	requires verification										camercad	2016-01-01 16:02:52		1	urn:uuid:bb106002-6637-4e4c-9936-16911a0290c8	http://scan-bugs.org/portal/collections/individual/index.php?occid=13009336
13009337	ASU	ASUHIC		PreservedSpecimen	c487b748-6c3f-40a3-ae80-9c71c9c725d5	ASUHIC0063529		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Stenosides anastomosis	(Say, 1824)	Stenosides	anastomosis			Charles A. Triplehorn	1987						Collector unknown				1934-09-17	1934	9	17	260														0							USA	New Mexico	Mora County		Optimo		0		35.89028	-104.80306	WGS84			Catherine Mercado		SCAN	requires verification										camercad	2015-01-08 14:34:43		1	urn:uuid:c487b748-6c3f-40a3-ae80-9c71c9c725d5	http://scan-bugs.org/portal/collections/individual/index.php?occid=13009337
13009338	ASU	ASUHIC		PreservedSpecimen	30d92baf-3175-442e-8aea-f676ef1c8e93	ASUHIC0063530		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Stenosides anastomosis	(Say, 1824)	Stenosides	anastomosis			Charles A. Triplehorn	1987						Linda Draper		Oscar Francke, Mont A. Cazier		1974-06-05	1974	6	5	156			found under cow chips											0							USA	Texas	Hudspeth County		5 mi. E of Hueco Tanks State Park		0		31.889217	-105.967044	WGS84			Catherine Mercado		Google Earth	requires verification										camercad	2015-01-08 14:34:43		1	urn:uuid:30d92baf-3175-442e-8aea-f676ef1c8e93	http://scan-bugs.org/portal/collections/individual/index.php?occid=13009338
13009339	ASU	ASUHIC		PreservedSpecimen	be834525-2770-4fa3-b449-35f349aa4ad5	ASUHIC0063531		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Stenosides anastomosis	(Say, 1824)	Stenosides	anastomosis			Charles A. Triplehorn	1987						Linda Draper		Oscar Francke, Mont A. Cazier		1974-06-05	1974	6	5	156														0							USA	Texas	Hudspeth County		5 mi. E of Hueco Tanks State Park		0		31.889217	-105.967044	WGS84			Catherine Mercado		Google Earth	requires verification										camercad	2015-01-08 14:34:43		1	urn:uuid:be834525-2770-4fa3-b449-35f349aa4ad5	http://scan-bugs.org/portal/collections/individual/index.php?occid=13009339
13672344	ASU	ASUHIC		PreservedSpecimen	f93d081a-111c-456e-930a-7b46eae9ba28	ASUHIC0078226		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Martin A. Kolner		Sandy L. Szerlip		1970-07-22	1970	7	22	203																					USA	Arizona	Pima County		Santa Rita Experimental Station				31.761246	-110.844812	WGS84			Christopher Henny		SCAN	requires verification		1340					4400ft			chenny	2015-04-14 14:51:18		1	urn:uuid:f93d081a-111c-456e-930a-7b46eae9ba28	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672344
13672350	ASU	ASUHIC		PreservedSpecimen	cefa4fdb-5575-44d0-90e5-697c8febe0b4	ASUHIC0078227		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Martin A. Kolner		Sandy L. Szerlip		1970-07-22	1970	7	22	203																		can trap			USA	Arizona	Pima County		Santa Rita Experimental Station				31.761246	-110.844812	WGS84			Christopher Henny		SCAN	requires verification		1340					4400ft			chenny	2015-04-14 14:51:18		1	urn:uuid:cefa4fdb-5575-44d0-90e5-697c8febe0b4	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672350
13672353	ASU	ASUHIC		PreservedSpecimen	7722697c-6669-4030-a579-cc278492e3b3	ASUHIC0078228		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Martin A. Kolner		Sandy L. Szerlip		1970-07-22	1970	7	22	203			found on the ground																		USA	Arizona	Pima County		Santa Rita Experimental Station				31.761246	-110.844812	WGS84			Christopher Henny		SCAN	requires verification		1340					4400ft			chenny	2015-04-14 14:51:18		1	urn:uuid:7722697c-6669-4030-a579-cc278492e3b3	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672353
13672362	ASU	ASUHIC		PreservedSpecimen	d8599883-26c7-4f1e-86c9-7e73e865520f	ASUHIC0078229		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Martin A. Kolner		Sandy L. Szerlip		1970-08-16	1970	8	16	228			found on the ground																		USA	Arizona	Pima County		8 mi. NW of Santa Rita Experimental Station				31.834687	-110.944892	WGS84			Christopher Henny		SCAN	requires verification		960					3150ft			chenny	2015-04-15 16:04:22		1	urn:uuid:d8599883-26c7-4f1e-86c9-7e73e865520f	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672362
13672366	ASU	ASUHIC		PreservedSpecimen	6dec8a8a-b6cf-4651-b211-29d3cf4c869c	ASUHIC0078230		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Martin A. Kolner		Sandy L. Szerlip		1970-08-20	1970	8	20	232																		light			USA	Arizona	Pima County		Santa Rita Experimental Station				31.761246	-110.844812	WGS84			Christopher Henny		SCAN	requires verification		1340					4400ft			chenny	2015-04-14 14:51:18		1	urn:uuid:6dec8a8a-b6cf-4651-b211-29d3cf4c869c	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672366
13672367	ASU	ASUHIC		PreservedSpecimen	defa1b4e-6e0e-45ef-aa52-4ee4704e01e0	ASUHIC0078231		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Sandy L. Szerlip				1970-04-14	1970	4	14	104																					USA	Arizona	Pima County		Santa Rita Experimental Station		0		31.761246	-110.844812	WGS84			Christopher Henny		SCAN	requires verification		1340					4400ft			chenny	2015-04-14 14:51:18		1	urn:uuid:defa1b4e-6e0e-45ef-aa52-4ee4704e01e0	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672367
13672369	ASU	ASUHIC		PreservedSpecimen	a41f3393-e25a-48b4-9b2e-dbfdf98ff869	ASUHIC0078232		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Mont A. Cazier		J. Bigelow, L. Welch		1970-07-14	1970	7	14	195																					USA	Arizona	Pima County		Madera Canyon				31.741084	-110.886958	WGS84			Christopher Henny		SCAN	requires verification										chenny	2015-04-15 15:51:35		1	urn:uuid:a41f3393-e25a-48b4-9b2e-dbfdf98ff869	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672369
13672375	ASU	ASUHIC		PreservedSpecimen	e00a7f0d-ff46-47c1-a5b5-2a5177fadee2	ASUHIC0078233		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Ronald S. Wielgus		Frank F. Hasbrouck		1974-04-01	1974	4	1	91																					USA	Arizona	Pima County		Madera Canyon Road and Van Metre Ranch Road, Santa Rita Mountains				31.733463	-110.88247	WGS84			Christopher Henny		SCAN	requires verification										chenny	2016-01-01 16:02:52		1	urn:uuid:e00a7f0d-ff46-47c1-a5b5-2a5177fadee2	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672375
13672382	ASU	ASUHIC		PreservedSpecimen	4df7630f-60ff-4642-9d71-8e3250b70b75	ASUHIC0078234		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Dale Wielgus				1971-11-27	1971	11	27	331																					USA	Arizona	Pima County		Empire Mountains				31.8828	-110.63	WGS84			Christopher Henny		SCAN	requires verification										chenny	2015-04-15 15:53:25		1	urn:uuid:4df7630f-60ff-4642-9d71-8e3250b70b75	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672382
13672396	ASU	ASUHIC		PreservedSpecimen	f057bdf6-8f9d-40bc-80ff-b9782fa7e199	ASUHIC0078235		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Edwin W. Minch		Martin A. Kolner		1974-08-03	1974	8	3	215																					USA	Arizona	Pima County		Molino Basin picnic area, Santa Catalina Mountains				32.33749	-110.691998	WGS84			Christopher Henny		SCAN	requires verification		1430					4690ft			chenny	2015-04-14 14:51:18		1	urn:uuid:f057bdf6-8f9d-40bc-80ff-b9782fa7e199	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672396
13672404	ASU	ASUHIC		PreservedSpecimen	a2289ad1-c8ae-4dd6-a21f-48669e4accfe	ASUHIC0078236		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Donna Kolner		Martin A. Kolner		1972-11-04	1972	11	4	309																					USA	Arizona	Santa Cruz County		Monkey Spring, 4.2 mi. SE of Sonoita				31.651548	-110.605347	WGS84			Christopher Henny		SCAN	requires verification		1400					4600ft			chenny	2015-04-14 18:19:32		1	urn:uuid:a2289ad1-c8ae-4dd6-a21f-48669e4accfe	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672404
13672405	ASU	ASUHIC		PreservedSpecimen	0c514a84-4d5d-4e26-87f3-1a761011b6fc	ASUHIC0078237		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Donna Kolner		Martin A. Kolner		1972-11-04	1972	11	4	309																					USA	Arizona	Santa Cruz County		Monkey Spring, 4.2 mi. SE of Sonoita				31.651548	-110.605347	WGS84			Christopher Henny		SCAN	requires verification		1400					4600ft			chenny	2015-04-14 18:19:32		1	urn:uuid:0c514a84-4d5d-4e26-87f3-1a761011b6fc	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672405
13672406	ASU	ASUHIC		PreservedSpecimen	5033d882-4fc1-4bcc-8283-29aed7f3ecfd	ASUHIC0078238		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Donna Kolner		Martin A. Kolner		1972-11-04	1972	11	4	309																					USA	Arizona	Santa Cruz County		Monkey Spring, 4.2 mi. SE of Sonoita				31.651548	-110.605347	WGS84			Christopher Henny		SCAN	requires verification		1400					4600ft			chenny	2015-04-14 18:19:32		1	urn:uuid:5033d882-4fc1-4bcc-8283-29aed7f3ecfd	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672406
13672408	ASU	ASUHIC		PreservedSpecimen	53611247-d154-4708-866b-fec972476579	ASUHIC0078239		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Donna Kolner		Martin A. Kolner		1972-11-04	1972	11	4	309																					USA	Arizona	Santa Cruz County		Monkey Spring, 4.2 mi. SE of Sonoita				31.651548	-110.605347	WGS84			Christopher Henny		SCAN	requires verification		1400					4600ft			chenny	2015-04-14 18:19:32		1	urn:uuid:53611247-d154-4708-866b-fec972476579	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672408
13672409	ASU	ASUHIC		PreservedSpecimen	d079d388-25f8-4988-84f8-fcfb415235f7	ASUHIC0078240		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Donna Kolner		Martin A. Kolner		1972-11-04	1972	11	4	309																					USA	Arizona	Santa Cruz County		Monkey Spring, 4.2 mi. SE of Sonoita				31.651548	-110.605347	WGS84			Christopher Henny		SCAN	requires verification		1400					4600ft			chenny	2015-04-14 18:19:32		1	urn:uuid:d079d388-25f8-4988-84f8-fcfb415235f7	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672409
13672433	ASU	ASUHIC		PreservedSpecimen	34f8dd10-956a-441f-9c56-917b0f3d749c	ASUHIC0078241		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	(Say, 1824)	Eusattus	reticulatus			J.T. Doyen	1981						Linda C. Draper		Mont A. Cazier's Family		1974-08-23	1974	8	23	235																					USA	Arizona	Cochise County		1 mi. E of Portal				31.913995	-109.123643	WGS84			Christopher Henny		SCAN	requires verification										chenny	2015-04-15 16:01:52		1	urn:uuid:34f8dd10-956a-441f-9c56-917b0f3d749c	http://scan-bugs.org/portal/collections/individual/index.php?occid=13672433
